iter	MultiClass
0	1.361323384
1	1.191265673
2	1.076234681
3	0.9982503836
4	0.9508359904
5	0.9050094832
6	0.8716541015
7	0.8469202222
8	0.8239063225
9	0.8023455032
10	0.7794136753
11	0.7605681744
12	0.7463868509
13	0.7375835957
14	0.7260194973
15	0.7169713431
16	0.7066795306
17	0.6974102771
18	0.6874260397
19	0.6774176529
20	0.6685205421
21	0.6618707066
22	0.6555803956
23	0.6484755666
24	0.6414659069
25	0.6358066671
26	0.6307170471
27	0.6257579926
28	0.6232394251
29	0.6203828786
30	0.6135879979
31	0.6080097814
32	0.6045778865
33	0.5982269027
34	0.5939034701
35	0.58988771
36	0.5872097981
37	0.583166233
38	0.5797909407
39	0.5761533018
40	0.5725765487
41	0.5693136068
42	0.5661973296
43	0.563836385
44	0.561285318
45	0.5592895
46	0.5576201128
47	0.5557105545
48	0.5523808849
49	0.5494374678
50	0.5469515706
51	0.5451018899
52	0.543178821
53	0.540400953
54	0.5383073815
55	0.5361886897
56	0.5349629015
57	0.5328087749
58	0.5310149056
59	0.529629251
60	0.5270171073
61	0.5251940303
62	0.5226546244
63	0.5213900005
64	0.5197772785
65	0.5185119351
66	0.5161523014
67	0.5148456825
68	0.5129707909
69	0.5109269386
70	0.5088463865
71	0.5074049788
72	0.5067253269
73	0.5056143617
74	0.5045760241
75	0.5030777157
76	0.5015183188
77	0.5003800303
78	0.4987838797
79	0.4969316844
80	0.4954127535
81	0.4935867888
82	0.4920815119
83	0.4904992718
84	0.4898183764
85	0.4884067003
86	0.4868305668
87	0.4859902226
88	0.485115222
89	0.4840340786
90	0.4830699779
91	0.4821888558
92	0.4813260732
93	0.4806991428
94	0.4800406594
95	0.4795794715
96	0.4787730031
97	0.4782075695
98	0.4774879793
99	0.476617473
100	0.4756286692
101	0.475068456
102	0.4743169595
103	0.4735940844
104	0.4727289771
105	0.4720684295
106	0.4713419424
107	0.4704572499
108	0.469505966
109	0.4687410367
110	0.4678673786
111	0.4672818604
112	0.4664270808
113	0.4650985046
114	0.4641553596
115	0.4631636979
116	0.4624481009
117	0.4616731873
118	0.4609886991
119	0.4604086854
120	0.459883863
121	0.4593686049
122	0.4589966937
123	0.4583556171
124	0.4578341739
125	0.4572357968
126	0.4565314437
127	0.455972543
128	0.4552129383
129	0.454362431
130	0.4538807526
131	0.4531291299
132	0.4526626785
133	0.4519719302
134	0.4512593993
135	0.4505498847
136	0.4499992955
137	0.4492222159
138	0.4488629535
139	0.4482119196
140	0.4475481312
141	0.4470686243
142	0.4466170651
143	0.4460924092
144	0.4455876781
145	0.4450438508
146	0.4446475771
147	0.4439342257
148	0.4434308474
149	0.4427256532
150	0.4420457823
151	0.4413455716
152	0.4411627874
153	0.44064716
154	0.4397630771
155	0.4394142663
156	0.4390851129
157	0.4385161324
158	0.4378529147
159	0.4372787672
160	0.4367416275
161	0.4361921963
162	0.4353994137
163	0.4349768596
164	0.4344541065
165	0.4340811647
166	0.4337340243
167	0.4333074362
168	0.4327177025
169	0.4322407271
170	0.4319459886
171	0.4317141745
172	0.4311372391
173	0.4309457941
174	0.430691533
175	0.4302980822
176	0.4299669213
177	0.4296797021
178	0.4295723972
179	0.4289680426
180	0.4284725876
181	0.4277737245
182	0.4272880675
183	0.4270556903
184	0.4265476496
185	0.4261661854
186	0.425897054
187	0.4254274142
188	0.4250128326
189	0.4245386991
190	0.4241225384
191	0.4235688008
192	0.423218221
193	0.4228046166
194	0.4223994999
195	0.4219735103
196	0.4214886329
197	0.4212047168
198	0.4208614636
199	0.420573197
200	0.4201446729
201	0.4198960612
202	0.4195052513
203	0.4190120408
204	0.4187853534
205	0.4185201941
206	0.4183615827
207	0.4178937129
208	0.417325136
209	0.4166321738
210	0.4163802325
211	0.4159893549
212	0.4153965232
213	0.4150496508
214	0.4147913635
215	0.4144292357
216	0.4139854519
217	0.413730895
218	0.4134902242
219	0.4131747526
220	0.4129405209
221	0.4125626032
222	0.4122321981
223	0.4121304226
224	0.4117866472
225	0.4115402343
226	0.4108878333
227	0.4105480006
228	0.4104210695
229	0.4100400379
230	0.4097587933
231	0.4093619972
232	0.4092292443
233	0.4089145936
234	0.4085105723
235	0.4082657903
236	0.4080875329
237	0.407800398
238	0.4075198926
239	0.4072401041
240	0.4070338865
241	0.4067180963
242	0.4064941149
243	0.4061742317
244	0.4059286476
245	0.4056986825
246	0.4053291429
247	0.4049631799
248	0.4046492419
249	0.4043572463
250	0.4041832299
251	0.4040556066
252	0.4037754049
253	0.4035440605
254	0.4032801156
255	0.4031342775
256	0.4027557922
257	0.4023601085
258	0.4019824206
259	0.4015137484
260	0.4011323651
261	0.4006061574
262	0.4004654461
263	0.4002428758
264	0.4000429883
265	0.3997986974
266	0.3995328915
267	0.3992298451
268	0.3987475145
269	0.3985800131
270	0.3983844681
271	0.3982637291
272	0.3979816713
273	0.3977281192
274	0.3975628597
275	0.3972715301
276	0.3968159387
277	0.3965833983
278	0.3963714852
279	0.3962159618
280	0.3959655832
281	0.3956285694
282	0.3953222287
283	0.3950856981
284	0.3948644374
285	0.3945241805
286	0.3943720345
287	0.3940245673
288	0.3937291249
289	0.3934666868
290	0.3931853497
291	0.3930258984
292	0.3928131099
293	0.3925773396
294	0.3922991115
295	0.3918394304
296	0.3916246317
297	0.3914531344
298	0.3913084996
299	0.3911948418
300	0.3910300207
301	0.3908413189
302	0.3905305443
303	0.390374031
304	0.3902193912
305	0.3901176703
306	0.3899154095
307	0.3897761661
308	0.389603726
309	0.3893211368
310	0.389017758
311	0.3888532405
312	0.388707152
313	0.3885371759
314	0.3883564034
