iter	Passed	Remaining
0	332	265345
1	620	247728
2	881	234314
3	1160	230974
4	1430	227400
5	1685	222982
6	1986	224996
7	2266	224334
8	2518	221326
9	2797	220971
10	3015	216297
11	3263	214312
12	3528	213628
13	3748	210452
14	3980	208288
15	4263	208900
16	4503	207430
17	4740	205949
18	4967	204171
19	5245	204589
20	5488	203604
21	5726	202497
22	5938	200612
23	6147	198773
24	6397	198323
25	6645	197817
26	6911	197867
27	7199	198509
28	7486	199025
29	7790	199964
30	8085	200560
31	8309	199422
32	8563	199043
33	8788	197991
34	9052	197869
35	9257	196459
36	9454	194966
37	9734	195198
38	9969	194533
39	10208	193966
