nof_features,train_score,val_score,selected_features,discarded_features
5,0.665028814725615,0.6597913001062662,"Average Weekly Wage, Time to C-2 Date, Injury Type Combined, COVID-19 Indicator_Y, First Hearing Date_DayOfWeek","Age at Injury, Birth Year, Carrier Name, Carrier Type, Claim Identifier, County of Injury, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, COVID and Industry, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
10,0.7328509375537589,0.684964200477327,"Average Weekly Wage, District Name, missing_C-3 Date, missing_First Hearing Date, Time to C-2 Date, Injury Type Combined, Attorney_Representative_Y, COVID-19 Indicator_Y, C-2 Date_DayOfWeek, First Hearing Date_DayOfWeek","Age at Injury, Birth Year, Carrier Name, Carrier Type, Claim Identifier, County of Injury, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_IME-4_Count, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, COVID and Industry, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Day, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
15,0.7480324273180802,0.6221190530111667,"Average Weekly Wage, District Name, WCIO Cause of Injury Code, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time to C-2 Date, Injury Type Combined, Attorney_Representative_Y, COVID-19 Indicator_Y, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek","Age at Injury, Birth Year, Carrier Name, Carrier Type, Claim Identifier, County of Injury, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, COVID and Industry, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
20,0.7504730775847239,0.6562984513004547,"Average Weekly Wage, Carrier Name, District Name, WCIO Cause of Injury Code, WCIO Nature of Injury Code, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To First Hearing, Time to C-2 Date, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Attorney_Representative_Y, COVID-19 Indicator_Y, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek","Age at Injury, Birth Year, Carrier Type, Claim Identifier, County of Injury, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
25,0.7522686220540169,0.6643206801038273,"Average Weekly Wage, Carrier Name, District Name, WCIO Cause of Injury Code, WCIO Nature of Injury Code, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_UK, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek","Age at Injury, Birth Year, Carrier Type, Claim Identifier, County of Injury, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time to C-3 Date, Industry Risk, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
30,0.7542899535523826,0.6638329007194745,"Age at Injury, Average Weekly Wage, Carrier Name, District Name, Industry Code, WCIO Cause of Injury Code, WCIO Nature of Injury Code, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, IME-4 Count Squared, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_UK, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek, Assembly Month Sin","Birth Year, Carrier Type, Claim Identifier, County of Injury, IME-4 Count, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time to C-3 Date, Industry Risk, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Wage * Economic Impact, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
35,0.7543007053156717,0.6296360817378882,"Age at Injury, Average Weekly Wage, Carrier Name, Carrier Type, District Name, Industry Code, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_UK, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek, Assembly Month Sin","Birth Year, Claim Identifier, County of Injury, IME-4 Count, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Description, WCIO Part Of Body Description, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, Wage * Economic Impact, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
40,0.754494237054877,0.6297057645070815,"Age at Injury, Average Weekly Wage, Carrier Name, Carrier Type, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_UK, Assembly Date_Year, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Assembly Month Sin","Birth Year, Claim Identifier, County of Injury, WCIO Nature of Injury Description, WCIO Part Of Body Description, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, Wage * Economic Impact, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
45,0.754677017030793,0.6333205581589813,"Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Carrier Type, Claim Identifier, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Log Average Weekly Wage, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_UK, Assembly Date_Year, Assembly Date_DayOfWeek, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Assembly Month Sin, C-2 Month Sin","County of Injury, WCIO Nature of Injury Description, WCIO Part Of Body Description, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Economic Impact, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, Wage * Economic Impact, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
50,0.7547200240839498,0.6334773443896661,"Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Carrier Type, Claim Identifier, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Log Average Weekly Wage, IME-4 Count Squared, IME-4 Count Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_UK, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Assembly Month Sin, C-2 Month Sin","County of Injury, WCIO Nature of Injury Description, WCIO Part Of Body Description, Zip Code, missing_Accident Date, missing_Assembly Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Economic Impact, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, Wage * Economic Impact, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Month Cos, Assembly Month Cos, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
