nof_features,train_score,val_score,selected_features,discarded_features
5,0.9846894890762085,0.6516906781875512,"WCIO Cause of Injury Code, WCIO Nature of Injury Code, Log Average Weekly Wage, C-2 Date_Day, C-2 Date_DayOfWeek","Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Carrier Type, Claim Identifier, County of Injury, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
10,0.9979034061586101,0.7100935491176419,"County of Injury, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, missing_IME-4_Count, Log Average Weekly Wage, COVID and Industry, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year","Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Carrier Type, Claim Identifier, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Nature of Injury Description, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Injury Type Combined, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
15,0.9994409083089627,0.7179328606518823,"County of Injury, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, missing_IME-4_Count, Log Average Weekly Wage, COVID and Industry, Injury Type Combined, Dispute_and_Rep_N_Y, C-2 Date_Day, C-2 Date_DayOfWeek, First Hearing Date_Year, First Hearing Date_DayOfWeek, Assembly Month Sin","Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Carrier Type, Claim Identifier, District Name, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
20,0.9999139858936865,0.7262425308781771,"County of Injury, District Name, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, missing_IME-4_Count, Log Average Weekly Wage, Average Weekly Wage Sqrt, COVID and Industry, Injury Type Combined, Dispute_and_Rep_N_Y, Assembly Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Assembly Month Sin","Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Carrier Type, Claim Identifier, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
25,1.0,0.7242391512638712,"Carrier Type, County of Injury, District Name, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, missing_First Hearing Date, missing_IME-4_Count, Log Average Weekly Wage, Average Weekly Wage Sqrt, COVID and Industry, Injury Type Combined, Gender_M, Dispute_and_Rep_N_Y, Assembly Date_Year, Assembly Date_DayOfWeek, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Assembly Month Sin, C-2 Month Cos","Age at Injury, Average Weekly Wage, Birth Year, Carrier Name, Claim Identifier, IME-4 Count, Industry Code, Industry Code Description, WCIO Cause of Injury Description, WCIO Part Of Body Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Accident Month Cos, Assembly Month Cos, C-2 Month Sin, C-3 Month Sin, C-3 Month Cos"
30,1.0,0.7247530616866714,"Carrier Name, Carrier Type, County of Injury, District Name, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, missing_First Hearing Date, missing_IME-4_Count, Time to C-3 Date, Log Average Weekly Wage, Average Weekly Wage Sqrt, COVID and Industry, Injury Type Combined, Gender_M, Dispute_and_Rep_N_Y, Assembly Date_Year, Assembly Date_DayOfWeek, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Accident Month Cos, Assembly Month Sin, C-2 Month Cos","Age at Injury, Average Weekly Wage, Birth Year, Claim Identifier, IME-4 Count, Industry Code, Industry Code Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Industry Risk, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Assembly Month Cos, C-2 Month Sin, C-3 Month Sin, C-3 Month Cos"
35,1.0,0.731538421336864,"Age at Injury, Carrier Name, Carrier Type, Claim Identifier, County of Injury, District Name, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, missing_First Hearing Date, missing_IME-4_Count, Time to C-3 Date, Industry Risk, Log Average Weekly Wage, Average Weekly Wage Sqrt, COVID and Industry, Injury Type Combined, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Assembly Date_Year, Assembly Date_DayOfWeek, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Accident Month Cos, Assembly Month Sin, C-2 Month Sin, C-2 Month Cos","Average Weekly Wage, Birth Year, IME-4 Count, Industry Code, Industry Code Description, Zip Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Assembly Month Cos, C-3 Month Sin, C-3 Month Cos"
40,1.0,0.7333240422974409,"Age at Injury, Carrier Name, Carrier Type, Claim Identifier, County of Injury, District Name, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time to C-3 Date, Industry Risk, Log Average Weekly Wage, Average Weekly Wage Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Assembly Date_Year, Assembly Date_DayOfWeek, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Accident Month Cos, Assembly Month Sin, C-2 Month Sin, C-2 Month Cos","Average Weekly Wage, Birth Year, IME-4 Count, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, Assembly Month Cos, C-3 Month Sin, C-3 Month Cos"
45,1.0,0.7231851993798234,"Age at Injury, Carrier Name, Carrier Type, Claim Identifier, County of Injury, District Name, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time to C-3 Date, Age Group, Industry Risk, Log Average Weekly Wage, Average Weekly Wage Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Assembly Date_Year, Assembly Date_DayOfWeek, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Cos","Average Weekly Wage, Birth Year, IME-4 Count, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Time to C-2 Date, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Day, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, Accident Month Sin, C-3 Month Sin"
50,1.0,0.7279758897618591,"Age at Injury, Carrier Name, Carrier Type, Claim Identifier, County of Injury, District Name, Industry Code, Industry Code Description, WCIO Cause of Injury Code, WCIO Cause of Injury Description, WCIO Nature of Injury Code, WCIO Nature of Injury Description, WCIO Part Of Body Code, WCIO Part Of Body Description, Number of Dependents, missing_C-3 Date, missing_First Hearing Date, missing_IME-4_Count, Time to C-2 Date, Time to C-3 Date, Age Group, Industry Risk, Log Average Weekly Wage, Average Weekly Wage Sqrt, IME-4 / Economic Impact, COVID and Industry, Injury Type Combined, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Medical Fee Region_IV, Dispute_and_Rep_N_Y, Accident Date_DayOfWeek, Assembly Date_Year, Assembly Date_Day, Assembly Date_DayOfWeek, C-2 Date_Year, C-2 Date_Day, C-2 Date_DayOfWeek, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_DayOfWeek, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Cos","Average Weekly Wage, Birth Year, IME-4 Count, Zip Code, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_Medical_Fee_Region, missing_Zip_Code, missing_Number_of_Dependents, missing_Birth_Year, Time To Assembly, Time To First Hearing, Economic Impact, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, IME-4 Count Sqrt, Wage * Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Accident Date_Year, Accident Date_Day, Accident Date_IsWeekend, Assembly Date_IsWeekend, C-2 Date_IsWeekend, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_IsWeekend, Accident Season Sin, C-3 Month Sin"
