nof_features,train_score,val_score,selected_features,discarded_features
5,0.740287456445993,0.7456889043720606,"missing_First Hearing Date, Time To First Hearing, Time to C-2 Date, Log Average Weekly Wage, IME-4 Count Sqrt","Age at Injury, Average Weekly Wage, Birth Year, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, Time To Assembly, Time to C-3 Date, Age Group, Injury Type Combined, Industry Risk, Economic Impact, Process Complexity, Accident Season, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Squared, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
10,0.7538763066202091,0.7577077164257098,"Average Weekly Wage, IME-4 Count, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Log Average Weekly Wage, Average Weekly Wage Sqrt, IME-4 Count Sqrt, COVID-19 Indicator_Y","Age at Injury, Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-2 Date, missing_C-3 Date, Time to C-3 Date, Age Group, Injury Type Combined, Industry Risk, Economic Impact, Process Complexity, Accident Season, Average Weekly Wage Squared, Log IME-4 Count, IME-4 Count Squared, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_N_Y, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
15,0.7633710801393728,0.7646751437031876,"Age at Injury, Average Weekly Wage, IME-4 Count, missing_C-2 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Log Average Weekly Wage, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, COVID-19 Indicator_Y, Dispute_and_Rep_N_Y, Accident Date_Year","Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-3 Date, Time to C-3 Date, Age Group, Injury Type Combined, Industry Risk, Economic Impact, Process Complexity, Accident Season, Average Weekly Wage Squared, IME-4 Count Squared, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Attorney_Representative_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Year, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, First Hearing Date_IsWeekend, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
20,0.7649390243902439,0.760146315972827,"Age at Injury, Average Weekly Wage, IME-4 Count, missing_C-2 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Injury Type Combined, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Attorney_Representative_Y, COVID-19 Indicator_Y, Dispute_and_Rep_N_Y, Accident Date_Year, C-3 Date_Year, First Hearing Date_IsWeekend","Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, missing_C-3 Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Process Complexity, Accident Season, IME-4 Count Squared, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
25,0.7646777003484321,0.7613656157463856,"Age at Injury, Average Weekly Wage, IME-4 Count, WCIO Part Of Body Code, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Injury Type Combined, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Attorney_Representative_Y, COVID-19 Indicator_Y, Dispute_and_Rep_N_Y, Industry Code Description Frequency, District Name Frequency, COVID and Industry Frequency, Accident Date_Year, C-3 Date_Year, First Hearing Date_IsWeekend","Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, Time to C-3 Date, Age Group, Industry Risk, Economic Impact, Process Complexity, Accident Season, IME-4 Count Squared, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_M, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, County of Injury Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
30,0.7657229965156794,0.7613656157463856,"Age at Injury, Average Weekly Wage, IME-4 Count, WCIO Part Of Body Code, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Injury Type Combined, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Wage * Economic Impact, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Industry Code Description Frequency, District Name Frequency, COVID and Industry Frequency, Accident Date_Year, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_IsWeekend","Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, Time to C-3 Date, Industry Risk, Process Complexity, Accident Season, IME-4 Count Squared, IME-4 / Economic Impact, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, County of Injury Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos"
35,0.7662456445993031,0.763455843929629,"Age at Injury, Average Weekly Wage, IME-4 Count, WCIO Part Of Body Code, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Injury Type Combined, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Industry Code Description Frequency, District Name Frequency, COVID and Industry Frequency, Accident Date_Year, Assembly Date_Day, C-2 Date_Year, C-2 Date_Day, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_IsWeekend, C-3 Month Cos","Birth Year, WCIO Cause of Injury Code, WCIO Nature of Injury Code, Number of Dependents, missing_Accident Date, missing_Assembly Date, Time to C-3 Date, Industry Risk, Process Complexity, Accident Season, IME-4 Count Squared, Alternative Dispute Resolution_U, Alternative Dispute Resolution_Y, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, County of Injury Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Month, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos, C-3 Month Sin"
40,0.7671602787456446,0.7650235150670615,"Age at Injury, Average Weekly Wage, IME-4 Count, WCIO Cause of Injury Code, WCIO Part Of Body Code, missing_Accident Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Injury Type Combined, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, COVID and Industry Frequency, Accident Date_Year, Assembly Date_Day, C-2 Date_Year, C-2 Date_Day, C-3 Date_Year, First Hearing Date_Year, First Hearing Date_IsWeekend, C-3 Month Sin, C-3 Month Cos","Birth Year, WCIO Nature of Injury Code, Number of Dependents, missing_Assembly Date, Time to C-3 Date, Industry Risk, Process Complexity, Accident Season, IME-4 Count Squared, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Zip Code Frequency, Carrier Type Frequency, Industry Code Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Month, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, C-3 Date_IsWeekend, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, Assembly Month Cos, C-2 Month Sin, C-2 Month Cos"
45,0.7673780487804878,0.7631074725657551,"Age at Injury, Average Weekly Wage, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, missing_Accident Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Age Group, Injury Type Combined, Economic Impact, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Assembly Date_Day, C-2 Date_Year, C-2 Date_Day, C-3 Date_Year, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_IsWeekend, Assembly Month Cos, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos","Birth Year, Number of Dependents, missing_Assembly Date, Time to C-3 Date, Industry Risk, Process Complexity, Accident Season, IME-4 Count Squared, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Zip Code Frequency, Carrier Type Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_Year, Assembly Date_Month, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_Month, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, C-2 Month Sin"
50,0.7679006968641114,0.7660686291586831,"Age at Injury, Average Weekly Wage, IME-4 Count, WCIO Cause of Injury Code, WCIO Nature of Injury Code, WCIO Part Of Body Code, missing_Accident Date, missing_C-2 Date, missing_C-3 Date, missing_First Hearing Date, Time To Assembly, Time To First Hearing, Time to C-2 Date, Time to C-3 Date, Age Group, Injury Type Combined, Economic Impact, Process Complexity, Log Average Weekly Wage, Average Weekly Wage Squared, Average Weekly Wage Sqrt, Log IME-4 Count, IME-4 Count Sqrt, Wage * Economic Impact, IME-4 / Economic Impact, Alternative Dispute Resolution_Y, Attorney_Representative_Y, COVID-19 Indicator_Y, Gender_M, Dispute_and_Rep_N_Y, Industry Code Description Frequency, County of Injury Frequency, District Name Frequency, Industry Code Frequency, COVID and Industry Frequency, Accident Date_Year, Assembly Date_Year, Assembly Date_Month, Assembly Date_Day, C-2 Date_Year, C-2 Date_Month, C-2 Date_Day, C-3 Date_Year, C-3 Date_IsWeekend, First Hearing Date_Year, First Hearing Date_IsWeekend, Assembly Month Cos, C-2 Month Cos, C-3 Month Sin, C-3 Month Cos","Birth Year, Number of Dependents, missing_Assembly Date, Industry Risk, Accident Season, IME-4 Count Squared, Alternative Dispute Resolution_U, Gender_U, Medical Fee Region_II, Medical Fee Region_III, Medical Fee Region_IV, Medical Fee Region_UK, Dispute_and_Rep_U_N, Dispute_and_Rep_U_Y, Dispute_and_Rep_Y_N, Dispute_and_Rep_Y_Y, Carrier Name Frequency, Zip Code Frequency, Carrier Type Frequency, Accident Date_Month, Accident Date_Day, Accident Date_DayOfWeek, Accident Date_IsWeekend, Assembly Date_DayOfWeek, Assembly Date_IsWeekend, C-2 Date_DayOfWeek, C-2 Date_IsWeekend, C-3 Date_Month, C-3 Date_Day, C-3 Date_DayOfWeek, First Hearing Date_Month, First Hearing Date_Day, First Hearing Date_DayOfWeek, Accident Season Sin, Accident Season Cos, Accident Month Sin, Accident Month Cos, Assembly Month Sin, C-2 Month Sin"
